team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BOS,2008,BOS,2008020006,BOS,COL,AWAY,20081009,Team Level,other,0.3885,0.1667,0.2222,184.0,1.155,0.556,0.077,0.136,0.04,0.834,0.357,0.556,0.556,0.556,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.062,0.0,0.494,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.023,0.0,0.0,0.579,0.579,0.579,4.942,0.875,0.579,1.013,0.196,3.361,0.976,0.659,0.875,0.659,6.0,1.0,3.0,10.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,6.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,2.0,0.199,0.212,0.464,0.0,0.0,0.0,10.0,7.0,7.0,0.0,0.173,0.218,0.218,0.83,0.83,0.687
BOS,2008,BOS,2008020006,BOS,COL,AWAY,20081009,Team Level,all,0.422,0.3551,0.3733,3600.0,19.895,3.152,1.302,3.948,0.612,10.652,8.334,3.106,3.264,3.217,20.0,8.0,10.0,38.0,5.0,1.0,0.0,3.0,0.0,9.0,10.0,15.0,23.0,5.0,10.0,30.0,17.0,15.0,12.0,16.0,8.0,4.0,0.488,1.141,1.523,2.0,2.0,1.0,39.624,28.0,29.191,7.0,0.296,0.124,0.124,3.325,3.446,3.395,34.859,4.318,2.745,7.506,1.184,19.108,12.139,3.907,4.162,3.759,39.0,8.0,22.0,69.0,4.0,6.0,3.0,9.0,2.0,13.0,13.0,35.0,43.0,2.0,4.0,36.0,34.0,14.0,16.0,27.0,15.0,5.0,1.125,1.719,1.474,0.0,2.0,2.0,66.67,47.0,45.546,7.0,0.632,1.469,1.469,3.481,3.355,3.181
BOS,2008,BOS,2008020006,BOS,COL,AWAY,20081009,Team Level,5on5,0.3492,0.3793,0.3833,3062.0,16.526,1.698,1.116,3.535,0.508,9.03,7.113,1.685,1.809,1.795,17.0,6.0,10.0,33.0,4.0,1.0,0.0,3.0,0.0,7.0,8.0,13.0,19.0,4.0,8.0,23.0,16.0,13.0,12.0,15.0,7.0,1.0,0.425,1.033,0.239,2.0,2.0,0.0,34.624,23.0,24.191,7.0,0.232,0.124,0.124,1.806,1.927,1.91,27.669,3.164,1.962,6.076,0.933,14.379,10.486,2.97,3.008,2.822,31.0,6.0,17.0,54.0,3.0,5.0,3.0,7.0,1.0,10.0,11.0,28.0,34.0,2.0,4.0,29.0,31.0,12.0,16.0,22.0,12.0,3.0,0.818,1.336,1.01,0.0,1.0,2.0,51.67,37.0,35.546,7.0,0.409,1.251,1.251,2.323,2.197,2.166
BOS,2008,BOS,2008020006,BOS,COL,AWAY,20081009,Team Level,4on5,0.2798,0.1667,0.25,226.0,0.734,0.108,0.038,0.078,0.017,0.205,0.554,0.108,0.108,0.108,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.008,0.0,0.0,0.116,0.116,0.116,2.249,0.278,0.204,0.418,0.055,1.368,0.677,0.278,0.278,0.278,2.0,1.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.107,0.171,0.0,0.0,1.0,0.0,5.0,3.0,3.0,0.0,0.049,0.0,0.0,0.328,0.328,0.328
BOS,2008,BOS,2008020006,BOS,COL,AWAY,20081009,Team Level,5on4,1.0,1.0,1.0,128.0,1.48,0.79,0.07,0.199,0.047,0.584,0.31,0.757,0.79,0.757,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.79,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.033,0.0,0.0,0.823,0.823,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,2008,BOS,2008020025,BOS,MIN,AWAY,20081011,Team Level,other,1.0,1.0,1.0,44.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.065,0.065,0.065,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,2008,BOS,2008020025,BOS,MIN,AWAY,20081011,Team Level,all,0.5054,0.5888,0.5909,3600.0,36.831,2.122,2.379,9.328,1.134,20.892,15.211,2.01,2.129,2.02,37.0,15.0,11.0,63.0,3.0,3.0,0.0,8.0,1.0,18.0,19.0,34.0,49.0,5.0,10.0,32.0,16.0,10.0,8.0,47.0,3.0,2.0,1.178,0.36,0.584,3.0,0.0,0.0,60.76,52.0,51.568,4.0,0.517,0.732,0.732,1.841,1.839,1.819,25.812,2.077,1.937,5.413,0.797,15.08,10.696,2.045,2.049,2.018,26.0,10.0,8.0,44.0,4.0,1.0,0.0,5.0,0.0,17.0,9.0,22.0,32.0,5.0,12.0,19.0,15.0,12.0,8.0,28.0,7.0,1.0,0.988,0.795,0.294,2.0,2.0,0.0,45.415,36.0,36.476,2.0,0.407,0.294,0.294,2.19,2.171,2.151
BOS,2008,BOS,2008020025,BOS,MIN,AWAY,20081011,Team Level,5on5,0.529,0.5952,0.5714,2872.0,29.067,1.913,1.753,7.609,0.91,15.919,11.895,1.804,1.921,1.814,29.0,11.0,10.0,50.0,3.0,3.0,0.0,6.0,0.0,12.0,16.0,26.0,37.0,5.0,10.0,24.0,14.0,8.0,7.0,35.0,3.0,2.0,0.97,0.36,0.584,3.0,0.0,0.0,47.76,40.0,39.568,3.0,0.361,0.732,0.732,1.542,1.541,1.524,21.488,1.703,1.523,4.658,0.676,12.238,9.202,1.677,1.675,1.65,21.0,9.0,4.0,34.0,2.0,1.0,0.0,5.0,0.0,14.0,8.0,19.0,28.0,5.0,12.0,15.0,13.0,9.0,8.0,24.0,5.0,1.0,0.806,0.603,0.294,1.0,1.0,0.0,35.415,30.0,30.476,2.0,0.313,0.294,0.294,1.722,1.703,1.691
BOS,2008,BOS,2008020025,BOS,MIN,AWAY,20081011,Team Level,4on5,0.0697,0.0909,0.1429,324.0,0.724,0.028,0.022,0.113,0.02,0.274,0.543,0.028,0.028,0.028,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.007,0.0,0.0,0.035,0.035,0.035,4.324,0.374,0.414,0.755,0.12,2.842,1.494,0.367,0.374,0.367,5.0,1.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,0.182,0.192,0.0,1.0,1.0,0.0,10.0,6.0,6.0,0.0,0.094,0.0,0.0,0.468,0.468,0.459
BOS,2008,BOS,2008020025,BOS,MIN,AWAY,20081011,Team Level,5on4,1.0,1.0,1.0,360.0,7.04,0.115,0.604,1.607,0.204,4.699,2.773,0.113,0.115,0.113,7.0,3.0,1.0,11.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,7.0,10.0,0.0,0.0,5.0,1.0,0.0,0.0,10.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,11.0,10.0,10.0,0.0,0.149,0.0,0.0,0.264,0.264,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
